sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
60.0,60.0,3.0,2.0,7500.0,38000,$,"Figueroa, Apolinario, Cnel. Al 100, Villa Crespo",-34.6053498,-58.447133900000004,2021-08-16T16:36:03.000Z,https://departamento.mercadolibre.com.ar/MLA-934510684-departamento-villa-crespo-_JM#position=1&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
60.0,60.0,3.0,2.0,9500.0,41500,$,"Marcelo T. De Alvear 1275, Recoleta",-34.5970964,-58.384263100000005,2021-10-10T19:48:16.000Z,https://departamento.mercadolibre.com.ar/MLA-1107587904-dueno-alquila-dto-3-ambientes-apto-profesional-_JM#position=2&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
33.0,33.0,2.0,1.0,6000.0,25000,$,"Uruguay  300, Congreso",-34.60533220000001,-58.3866723,2021-09-13T22:52:17.000Z,https://departamento.mercadolibre.com.ar/MLA-1103159518-reestrenar-impecable-excelente-ubicacion-uruguay-esq-ctes-_JM#position=3&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
20.0,16.0,1.0,,5000.0,23500,$,"Camargo 481, Villa Crespo",-34.6007666,-58.439639799999995,2021-10-05T11:42:24.000Z,https://departamento.mercadolibre.com.ar/MLA-1106700470-alquilo-hermoso-1-ambiente-en-villa-crespo-_JM#position=4&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
20.0,20.0,1.0,1.0,,30000,$,"Directorio Sn, Flores",-34.6325618,-58.457706900000005,2021-10-11T14:28:25.000Z,https://departamento.mercadolibre.com.ar/MLA-1107703416-monoambientes-en-alquiler-gastos-incluidos-sin-garantia-_JM#position=5&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
77.0,72.0,3.0,2.0,3200.0,65000,$,"Gutemberg 3549, Villa Devoto",-34.5949245,-58.5075989,2021-09-18T04:58:57.000Z,https://departamento.mercadolibre.com.ar/MLA-1103875633-3-amb-g-mistral-3145-lujo-aire-acporce-cochera-bcon-2-ban-_JM#position=6&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
24.0,24.0,1.0,,1.0,34000,$,"El Artesano 1100, Parque Chacabuco",-34.639013399999996,-58.4326551,2021-10-18T15:02:12.000Z,https://departamento.mercadolibre.com.ar/MLA-1108553648-monoambientes-a-estrenar-sin-garantia-impuestos-incluidos-_JM#position=7&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
100.0,100.0,4.0,4.0,,6000,$,"Av Corrientes  1700, San Nicolás",-34.6045094,-58.3908865,2021-08-27T16:21:36.000Z,https://departamento.mercadolibre.com.ar/MLA-1100131827-alquilo-habitacion-compartida-_JM#position=8&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
23.0,23.0,1.0,1.0,5500.0,22000,$,"Av Pueyrredon 2300, Recoleta",-34.5869097,-58.396373399999995,2021-08-30T15:23:10.000Z,https://departamento.mercadolibre.com.ar/MLA-935497302-monoambiente-en-alquiler-recoleta-_JM#position=9&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
49.0,49.0,3.0,2.0,3500.0,25300,$,"Avenida Soldado De La Frontera 5500, Villa Lugano",-34.6879696,-58.461243599999996,2021-10-05T21:03:24.000Z,https://departamento.mercadolibre.com.ar/MLA-1106805511-dueno-alquila-con-recibo-de-fuerzas-armadas-_JM#position=10&search_layout=grid&type=item&tracking_id=80ca92fd-8d70-4f33-9ae3-b3ea7c2f8b5c,depto
