"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"av rivadavia 3500, piso 13",-34.61105,-58.41687,1,1,30,8000,30000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10712978",45,2,"argenprop"
"espinosa  100, piso 2",,,1,1,,3850,31000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10677117",37,2,"argenprop"
"junin 1400",-34.59147,-58.39549,1,1,97,5500,45000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10713010",43,2,"argenprop"
"joaquin v gonzalez  2100",-34.61376,-58.49614,0,1,35,4380,24000,"$",33,3,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro--5343946",36,1,"argenprop"
"p franco 3100",-34.58379,-58.51014,2,1,35,,95000,"$",96,44,"https://www.argenprop.com/ph-en-alquiler-en-villa-pueyrredon--5041395",140,3,"argenprop"
"esmeralda 800",-34.59826,-58.37791,1,1,35,5800,20000,"$",31,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--9515548",31,2,"argenprop"
"boyacá 600, piso 3",-34.61955,-58.46152,3,1,40,8908,65000,"$",80,4,"https://www.argenprop.com/departamento-en-alquiler-en-villa-general-mitre-4-ambientes--10695664",84,4,"argenprop"
"boyacá 600, piso 3",-34.61955,-58.46152,3,1,40,8908,65000,"$",80,4,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-santa-rita-4-ambientes--10695681",84,4,"argenprop"
"boyacá 600, piso 3",-34.61955,-58.46152,3,1,40,8908,65000,"$",80,4,"https://www.argenprop.com/departamento-en-alquiler-en-flores-4-ambientes--10695624",84,4,"argenprop"
"boyacá 600, piso 3",-34.61955,-58.46152,3,1,40,8908,65000,"$",80,4,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10695652",84,4,"argenprop"
"lope de vega 1600",-34.62457,-58.5111,2,1,40,4000,45000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-3-ambientes--10701192",50,3,"argenprop"
"av santa fe 2200, piso 3",-34.59531,-58.39931,0,1,28,6016,27000,"$",37,5,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte--10206926",42,1,"argenprop"
"av. san martín 2100",-34.60444,-58.45855,2,1,30,6000,60000,"$",73,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--10712926",73,3,"argenprop"
"darwin al 1100",-34.58994,-58.44021,3,2,15,65000,2e+05,"$",289,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--10712924",289,4,"argenprop"
"ciudad de la paz 700, piso 5",-34.57161,-58.44603,1,1,35,7640,35000,"$",35.5,3.9,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10430860",39.4,2,"argenprop"
"av gaona al 1300",-34.60931,-58.45036,1,1,10,8300,60000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-2-ambientes--10712915",43,2,"argenprop"
